Dataset,Global params,Parameters,mean_train_accuracy,mean_train_precision,mean_train_recall,mean_train_auc,mean_test_accuracy,mean_test_precision,mean_test_recall,mean_test_auc,std_train_accuracy,std_train_precision,std_train_recall,std_train_auc,std_test_accuracy,std_test_precision,std_test_recall,std_test_auc
"Stats features, center channels","{""seed"": 24, ""CV"": 5, ""Test size"": 0.2, ""scoring"": {""accuracy"": ""accuracy"", ""precision"": ""precision"", ""recall"": ""recall"", ""auc"": ""roc_auc""}, ""refit"": ""accuracy""}","{'cls': LinearSVC(C=1.0, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=24, tol=0.0001,
     verbose=0)}",1.0,1.0,1.0,1.0,0.75,0.875,0.625,0.625,0.0,0.0,0.0,0.0,0.1767766952966369,0.21650635094610965,0.21650635094610965,0.21650635094610965
"Stats features, center channels","{""seed"": 24, ""CV"": 5, ""Test size"": 0.2, ""scoring"": {""accuracy"": ""accuracy"", ""precision"": ""precision"", ""recall"": ""recall"", ""auc"": ""roc_auc""}, ""refit"": ""accuracy""}","{'cls': SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=24, shrinking=True,
  tol=0.001, verbose=False)}",1.0,1.0,1.0,1.0,0.3125,0.1875,0.25,0.25,0.0,0.0,0.0,0.0,0.2072890493972125,0.24206145913796356,0.3535533905932738,0.3535533905932738
"Stats features, center channels","{""seed"": 24, ""CV"": 5, ""Test size"": 0.2, ""scoring"": {""accuracy"": ""accuracy"", ""precision"": ""precision"", ""recall"": ""recall"", ""auc"": ""roc_auc""}, ""refit"": ""accuracy""}","{'cls': RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=1,
            oob_score=False, random_state=24, verbose=0, warm_start=False)}",1.0,1.0,1.0,1.0,0.4375,0.29166666666666663,0.375,0.625,0.0,0.0,0.0,0.0,0.34798527267687634,0.3886407938787006,0.4841229182759271,0.414578098794425
"Stats features, center channels","{""seed"": 24, ""CV"": 5, ""Test size"": 0.2, ""scoring"": {""accuracy"": ""accuracy"", ""precision"": ""precision"", ""recall"": ""recall"", ""auc"": ""roc_auc""}, ""refit"": ""accuracy""}","{'cls': AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=0.75, n_estimators=50, random_state=24)}",1.0,1.0,1.0,1.0,0.5625,0.5625,0.625,0.5,0.0,0.0,0.0,0.0,0.10825317547305482,0.29973947020704494,0.33071891388307384,0.33071891388307384
"Stats features, center channels","{""seed"": 24, ""CV"": 5, ""Test size"": 0.2, ""scoring"": {""accuracy"": ""accuracy"", ""precision"": ""precision"", ""recall"": ""recall"", ""auc"": ""roc_auc""}, ""refit"": ""accuracy""}","{'cls': ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=None, max_features='auto', max_leaf_nodes=None,
           min_impurity_decrease=0.0, min_impurity_split=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=1,
           oob_score=False, random_state=24, verbose=0, warm_start=False)}",1.0,1.0,1.0,1.0,0.5625,0.5,0.5,0.625,0.0,0.0,0.0,0.0,0.3903123748998999,0.4330127018922193,0.4330127018922193,0.414578098794425
"Stats features, center channels","{""seed"": 24, ""CV"": 5, ""Test size"": 0.2, ""scoring"": {""accuracy"": ""accuracy"", ""precision"": ""precision"", ""recall"": ""recall"", ""auc"": ""roc_auc""}, ""refit"": ""accuracy""}","{'cls': GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=3,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=100,
              presort='auto', random_state=24, subsample=1.0, verbose=0,
              warm_start=False)}",1.0,1.0,1.0,1.0,0.5,0.4583333333333333,0.5,0.5,0.0,0.0,0.0,0.0,0.21650635094610965,0.26020824993326663,0.25,0.39528470752104744
"Stats features, center channels","{""seed"": 24, ""CV"": 5, ""Test size"": 0.2, ""scoring"": {""accuracy"": ""accuracy"", ""precision"": ""precision"", ""recall"": ""recall"", ""auc"": ""roc_auc""}, ""refit"": ""accuracy""}","{'cls': XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bynode=1, colsample_bytree=1, gamma=0, learning_rate=0.1,
       max_delta_step=0, max_depth=3, min_child_weight=1, missing=None,
       n_estimators=100, n_jobs=1, nthread=None,
       objective='binary:logistic', random_state=0, reg_alpha=0,
       reg_lambda=1, scale_pos_weight=1, seed=None, silent=None,
       subsample=1, verbosity=1)}",1.0,1.0,1.0,1.0,0.5625,0.47916666666666663,0.5,0.65625,0.0,0.0,0.0,0.0,0.2072890493972125,0.40343576522993924,0.4330127018922193,0.3890593624371479
"Stats features, center channels","{""seed"": 24, ""CV"": 5, ""Test size"": 0.2, ""scoring"": {""accuracy"": ""accuracy"", ""precision"": ""precision"", ""recall"": ""recall"", ""auc"": ""roc_auc""}, ""refit"": ""accuracy""}","{'cls': KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='uniform')}",0.7,0.7523809523809525,0.5857142857142857,0.7641156462585035,0.4375,0.3958333333333333,0.625,0.4375,0.10251928638862373,0.16399214626402442,0.23550977178815694,0.1382597625885381,0.10825317547305482,0.16535945694153692,0.33071891388307384,0.10825317547305482
"Stats features, center channels","{""seed"": 24, ""CV"": 5, ""Test size"": 0.2, ""scoring"": {""accuracy"": ""accuracy"", ""precision"": ""precision"", ""recall"": ""recall"", ""auc"": ""roc_auc""}, ""refit"": ""accuracy""}",{'cls': GaussianNB(priors=None)},0.8761904761904761,0.8630952380952381,0.9047619047619048,0.9725623582766441,0.375,0.3125,0.5,0.1875,0.05664465358747771,0.08074202360863414,0.07824607964359515,0.0346011239187528,0.2795084971874737,0.26922599965250177,0.4330127018922193,0.3247595264191645
"Stats features, center channels","{""seed"": 24, ""CV"": 5, ""Test size"": 0.2, ""scoring"": {""accuracy"": ""accuracy"", ""precision"": ""precision"", ""recall"": ""recall"", ""auc"": ""roc_auc""}, ""refit"": ""accuracy""}","{'cls': StackingClassifier(average_probas=False,
          classifiers=[LinearSVC(C=1.0, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=24, tol=0.0001,
     verbose=0), SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_funct...c_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='uniform'), GaussianNB(priors=None)],
          drop_last_proba=False,
          meta_classifier=LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False),
          store_train_meta_features=False, use_clones=True,
          use_features_in_secondary=False, use_probas=False, verbose=0)}",1.0,1.0,1.0,1.0,0.5,0.4375,0.625,0.5625,0.0,0.0,0.0,7.021666937153402e-17,0.1767766952966369,0.2030582155168534,0.33071891388307384,0.44633927678392815
